Month,Alpha NW T-stat,Beta NW T-stat
01/04/1972,0.721695929,-0.648901373
01/05/1972,0.718117735,-2.800481782
01/06/1972,-0.194653258,-1.983785453
01/07/1972,-0.001023943,-1.404714549
01/08/1972,2.446750368,-2.388190881
01/09/1972,-0.385506499,-1.493634927
01/10/1972,2.049167169,-3.071417364
01/11/1972,4.365343362,-2.303437184
01/12/1972,-0.005797601,-1.236673525
01/01/1973,1.765795311,-3.67106493
01/02/1973,3.62708828,-8.80144569
01/03/1973,0.113806135,-1.382241092
01/04/1973,1.158513595,-6.578116956
01/05/1973,0.239900979,-3.712816919
01/06/1973,2.047192277,-3.584727175
01/07/1973,-0.464162854,3.422720556
01/08/1973,0.518864016,-3.26073261
01/09/1973,3.113774789,-0.129435839
01/10/1973,0.946886355,-1.16744864
01/11/1973,0.041590941,-6.901204016
01/12/1973,1.742639066,-3.083548195
01/01/1974,1.203609469,4.990201502
01/02/1974,1.272207529,-1.481338379
01/03/1974,-3.883599567,3.993194049
01/04/1974,-3.05082682,0.323358259
01/05/1974,-2.949534238,-0.591956023
01/06/1974,-0.17998349,-1.586932493
01/07/1974,0.522381275,-3.188735616
01/08/1974,-5.823784836,-1.136952225
01/09/1974,-1.197634741,-1.97596379
01/10/1974,5.488530389,-3.907890728
01/11/1974,-0.826889387,-0.312248856
01/12/1974,-0.482856412,-2.153553004
01/01/1975,4.106008871,1.278020221
01/02/1975,0.05543589,1.547959399
01/03/1975,-3.521710523,5.808167318
01/04/1975,0.292985881,1.049420686
01/05/1975,0.390398334,1.953913637
01/06/1975,0.944536846,0.69675115
01/07/1975,-1.067150526,0.135424169
01/08/1975,-0.549328131,-2.952324825
01/09/1975,-0.061447413,-2.391742574
01/10/1975,1.972401602,-1.710057909
01/11/1975,-0.626231981,1.064630619
01/12/1975,-0.181049732,-0.197183643
01/01/1976,-1.887217416,8.885123519
01/02/1976,-1.842185387,4.511615749
01/03/1976,-1.214531884,1.970784291
01/04/1976,3.651219794,-4.391035085
01/05/1976,4.42618514,-6.519723923
01/06/1976,1.336996255,-0.194534258
01/07/1976,0.919248193,-1.296897323
01/08/1976,1.537217148,-3.103660875
01/09/1976,1.824724521,-1.07581424
01/10/1976,2.565374366,-4.939196863
